Threshold,Homogenity,Completeness,V-Measure,Mutual Info,Adj. Mut. Inf,Shill,HOM std,COM std,VME std,MI std,AMI std,Shill std
0.10000000000000001,0.99996244211471674,0.4766401058142205,0.64555963033987163,2.9544852933678341,0.36041533754760835,0.82691104421614769,2.8136020808013884e-05,0.0032078703514695898,0.0029435214335944574,0.014630028341675632,0.0042126556564035253,0.0039809665617046627
0.59999999999999998,0.99932163572705279,0.72016182867638012,0.83706616723428806,2.9558245012498254,0.67101246625723454,0.82810958161515968,0.00023725942071829842,0.006044918924079711,0.004060203402024158,0.015543631304683718,0.007432024377966355,0.0025576957536063067
1.1000000000000001,0.99914204469880108,0.75566622839528663,0.86045634441230523,2.95206133072652,0.71513925653055366,0.82691104421614769,0.00027805238276524597,0.012545502437434589,0.0081626174346290156,0.014636900404318724,0.014995454285488177,0.0039809665617046627
1.6000000000000001,0.99923355903031807,0.77869851851362093,0.87526821866110982,2.9555651390867608,0.74316433847665386,0.82810958161515968,0.00035877915510243452,0.0074712308236864313,0.0047053396273067172,0.01578102869031121,0.0087728549615948108,0.0025576957536063067
2.1000000000000001,0.99864716092626171,0.80396026063949577,0.89075172652073908,2.9506006083025782,0.77338101809648729,0.82691104421614769,0.00044358924983284038,0.010548240199399457,0.0064600251358793359,0.014958229874270396,0.012288273334540946,0.0039809665617046627
2.6000000000000001,0.99835501821241035,0.81331536002949678,0.89637837783023289,2.9529657960236393,0.7849641727734552,0.82810958161515968,0.00062358701110029515,0.0045501946517768482,0.0027698685168460772,0.015693364572549863,0.0051563526890385982,0.0025576957536063067
3.1000000000000001,0.99788479277267916,0.82700794554541734,0.90443497218003122,2.9483464712511491,0.80168802248254045,0.82691104421614769,0.00035220862805797852,0.0060179889391720649,0.0037011863662553147,0.014596443619194892,0.0069180806851860096,0.0039809665617046627
3.6000000000000001,0.99750655194219617,0.84559784320885778,0.9152664138343416,2.9504546816177113,0.82381342709922156,0.82810958161515968,0.00087124605627360156,0.0093803870773378588,0.0057173946226012863,0.01549861437450116,0.010837920775075822,0.0025576957536063067
4.0999999999999996,0.99705152330431002,0.85521028799873355,0.92068377686727754,2.945887778439384,0.83526385967978478,0.82691104421614769,0.00086958572504894263,0.0075473260024848101,0.0045609643693998135,0.015415733337172379,0.008735105578062511,0.0039809665617046627
4.5999999999999996,0.99581946917258946,0.86542903141316363,0.92601693341285929,2.945475523173041,0.84763680000040531,0.82810958161515968,0.0018010896281716905,0.012216453110403994,0.0074571184071220821,0.018042220004650566,0.013937448533385443,0.0025576957536063067
